,UTC_Time,Date,Tweet_Content,Manual_Training_Labels,Is_Training,Manual_Testing_Labels,Is_Testing
0,2020-01-01 00:16:23+00:00,2020-01-01,"Happy New Year, electric vehicle decade challenge 🎉🎉🎉🎉 https://t.co/y6M7VIovM4",nan,0,nan,0
1,2020-01-01 00:27:22+00:00,2020-01-01,Let The New Decade Begin! It’s Going to get Electric ⚡️💚 https://t.co/7CmAlLg1ox,nan,0,nan,0
2,2020-01-01 13:00:15+00:00,2020-01-01,"New year, new adventures! What's on your bucket list for 2020? Ours includes the epic Dakar Rally this month, our Ski-Doo product reveal the next, and our continued venture into the world of electric vehicles – and that's just the beginning. https://t.co/7alkHahBpl",nan,0,nan,0
3,2020-01-01 17:00:20+00:00,2020-01-01,"For 100 years, Citroën has made vehicles accessible to all.
In 2020, Citroën will make electric vehicles available to all. 
Happy new year 💫 #ËlectricForAll #InspirËdByYouAll https://t.co/VZqLb1FiaS",nan,0,nan,0
4,2020-01-01 17:00:29+00:00,2020-01-01,We’re celebrating the New Year at the kickoff of this year’s @SanDiegoAutoSho. You can find us at our booth by this year’s latest electric vehicles (EVs)! Test drive one for yourself tomorrow morning in celebration of #EV Day. 🔌🚗Details: https://t.co/Jdj315V35R https://t.co/B0VbyCM4x3,nan,0,nan,0
5,2020-01-01 09:01:01+00:00,2020-01-01,"#Citreon #Survolt has a top speed of 260kph (162mph) and a 0-100kph (0-62mph) time of under five seconds.  Powered by 80 battery packs and weighing 220kg, the #Agni Z2’s 65hp all-electric drivetrain delivers a 0-60mph time of around 3.5seconds #EV2010 #HistoryofEV https://t.co/JsXTrzHHm5",nan,0,nan,0
6,2020-01-01 04:05:38+00:00,2020-01-01,Turkish government creates TOGG car brand to sell electric vehicles. (Digital Trends) #EV #AutoIndustry https://t.co/YZmV8oWskx https://t.co/Jxdai3k9AE,nan,0,nan,0
7,2020-01-01 12:40:00+00:00,2020-01-01,"Tax breaks for solar, electric vehicles and energy storage were slashed from the last-minute budget Congress passed for 2020. Retired and sick coal miners, meanwhile, got some of the support they had fought for. Here’s what else made the cut.

https://t.co/5sfCoG2JLb",nan,0,nan,0
8,2020-01-01 11:50:04+00:00,2020-01-01,The #MINI #Scooter E #Concept is powered by an electric motor integrated in the rear wheel.  The motor’s lithium-ion battery can be #recharged at any conventional power socket using an on-board #charging cable #HistoryofEV #EV2010 #EV https://t.co/5kqCoD05lf,nan,0,nan,0
9,2020-01-01 12:45:01+00:00,2020-01-01,"Electric vehicles are becoming a regular sight on our roads. The government has set ambitious targets for the uptake of #electriccars, and want to end the sale of conventional petrol and diesel vehicles by 2040. https://t.co/NENwfxRtE1 #ElectricVehicles https://t.co/xD1BX3DKlh",nan,0,nan,0
10,2020-01-01 04:02:32+00:00,2020-01-01,10 Ways That Car Dealerships Can Step Up To Sell Electric Vehicles https://t.co/c24T9f2zei https://t.co/2tWeKYh8xK,nan,0,nan,0
11,2020-01-01 00:00:06+00:00,2020-01-01,"Happy New Year from EVision! Have a healthy, happy and prosperous 2020. 🎉 
#HappyNewYear #HappyNewYear2020 https://t.co/jISthZB6ry",nan,0,nan,0
12,2020-01-01 08:15:41+00:00,2020-01-01,10 Electric Vehicles to Watch https://t.co/BidvYcY6zC,nan,0,nan,0
13,2020-01-01 06:53:11+00:00,2020-01-01,Growth in electric vehicles and renewable resources could reduce trade in auto parts and commodities. Link &gt;&gt; https://t.co/IEOhP7gPVc @McKinsey_MGI via @antgrasso #ElectricVehicle #RenewableEnergy #Mobility #FutureofMobility #Energy #EnergyEfficiency https://t.co/3s8RtYXn1m,nan,0,nan,0
14,2020-01-01 18:25:05+00:00,2020-01-01,Turkey will produce electric vehicles with a $3.7 billion investment https://t.co/yDGr6Y0GVI,nan,0,nan,0
15,2020-01-01 22:43:12+00:00,2020-01-01,"I couldn’t disagree more with this opinion piece.  While individual decisions to reduce carbon emissions won’t change the equation, mass acceptance of electric vehicles, renewable energy, and lower meat consumption will. Saying that personal choices don’t matter is foolish.",nan,0,nan,0
16,2020-01-01 13:11:38+00:00,2020-01-01,"My hope for 2020? We realise that 100% electric vehicles are not the answer and we push for hydrogen hybrids, using sustainable energy to create a national hydrogen distribution network, to replace natural gas as a side benefit.",nan,0,nan,0
17,2020-01-01 00:51:50+00:00,2020-01-01,"Self-driving and electric vehicles have been on the horizon for ~ 5yrs, but this makes it sound like they only got the memo this year 🤔",nan,0,nan,0
18,2020-01-01 12:50:40+00:00,2020-01-01,New York Times @nytimes: 10 Electric Vehicles to Watch. #AI #MachineLearning #industry40 https://t.co/RtXo9Aq8yi,nan,0,nan,0
19,2020-01-02 16:20:05+00:00,2020-01-02,Solvay Performance Polyamides augments Technyl Blue portfolio with new grades designed for electric vehicles. Materials are suited for molding/extruding cooling circuit parts and air-conditioning systems https://t.co/inrzXW6DPL https://t.co/DsR5gKrO6j,nan,0,nan,0
